Date,Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Procurement lead time,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Manufacturing lead time,Manufacturing costs,is_weekend,day_of_week,month,quarter,year,day_of_year,week_of_year,is_month_end,is_quarter_end,is_event_active,active_event,seasonal_multiplier
2023-01-14,cosmetics,SKU001,70.66,87,280,19784.8,Female,280,23,7,Standard,12.89,Supplier_4,Bangalore,20,39.23,1,5,1,1,2023,14,2,0,0,1,New Year,2.2792
2023-01-15,cosmetics,SKU001,16.31,93,555,9052.05,Female,555,7,4,Premium,29.68,Supplier_6,Mumbai,10,8.89,1,6,1,1,2023,15,2,0,0,1,New Year,2.1292
2023-01-16,cosmetics,SKU001,99.14,88,330,32716.2,Unisex,330,9,3,Express,15.98,Supplier_1,Kolkata,18,41.27,0,0,1,1,2023,16,3,0,0,1,New Year,1.8895
2023-01-17,cosmetics,SKU001,104.8,87,470,49256.0,Unisex,470,13,7,Express,19.06,Supplier_5,Chennai,16,38.52,0,1,1,1,2023,17,3,0,0,1,New Year,1.7196
2023-01-18,cosmetics,SKU001,21.17,92,591,12511.47,Female,591,24,6,Standard,21.44,Supplier_5,Kolkata,6,9.09,0,2,1,1,2023,18,3,0,0,1,New Year,1.7383
2023-01-19,cosmetics,SKU001,98.06,87,453,44421.18,Unisex,453,9,4,Economy,15.75,Supplier_1,Bangalore,19,59.84,0,3,1,1,2023,19,3,0,0,1,New Year,1.9515
2023-01-20,cosmetics,SKU001,47.5,94,279,13252.5,Female,279,3,7,Express,27.12,Supplier_5,Bangalore,13,21.1,0,4,1,1,2023,20,3,0,0,1,New Year,1.9711
2023-01-21,cosmetics,SKU001,110.54,99,473,52285.42,Unisex,473,24,3,Standard,16.74,Supplier_3,Delhi,7,55.02,1,5,1,1,2023,21,3,0,0,1,New Year,2.587
2023-01-22,cosmetics,SKU001,61.72,99,358,22095.76,Unisex,358,12,2,Express,8.09,Supplier_1,Pune,8,39.73,1,6,1,1,2023,22,3,0,0,1,New Year,2.4099
2023-01-23,cosmetics,SKU001,63.66,99,586,37304.76,Male,586,4,3,Economy,12.86,Supplier_4,Pune,17,38.05,0,0,1,1,2023,23,4,0,0,1,New Year,2.0259
2023-01-24,cosmetics,SKU001,86.14,91,643,55388.02,Male,643,20,6,Premium,14.57,Supplier_6,Bangalore,7,35.45,0,1,1,1,2023,24,4,0,0,1,New Year,1.8386
2023-01-25,cosmetics,SKU001,104.95,94,278,29176.1,Female,278,21,1,Standard,12.6,Supplier_2,Kolkata,5,53.26,0,2,1,1,2023,25,4,0,0,1,New Year,1.8532
2023-01-26,cosmetics,SKU001,87.22,100,373,32533.06,Unisex,373,11,5,Premium,14.74,Supplier_2,Delhi,19,49.07,0,3,1,1,2023,26,4,0,0,1,New Year,2.0747
2023-01-27,cosmetics,SKU001,24.42,96,464,11330.88,Unisex,464,13,7,Premium,23.46,Supplier_4,Pune,9,12.54,0,4,1,1,2023,27,4,0,0,1,New Year,2.0895
2023-01-28,cosmetics,SKU001,80.51,93,587,47259.37,Female,587,12,4,Standard,25.83,Supplier_7,Chennai,6,38.74,1,5,1,1,2023,28,4,1,0,1,New Year,3.0
2023-01-29,cosmetics,SKU001,73.68,97,601,44281.68,Female,601,24,7,Standard,21.03,Supplier_5,Delhi,11,30.29,1,6,1,1,2023,29,4,1,0,1,New Year,2.9214
2023-01-30,cosmetics,SKU001,61.22,86,400,24488.0,Female,400,9,2,Premium,28.23,Supplier_3,Mumbai,18,34.7,0,0,1,1,2023,30,5,1,0,1,New Year,2.449
2023-01-31,cosmetics,SKU001,80.01,96,457,36564.57,Female,457,22,2,Standard,17.74,Supplier_2,Bangalore,16,48.78,0,1,1,1,2023,31,5,1,0,1,New Year,2.2163
2023-02-01,cosmetics,SKU001,117.28,87,275,32252.0,Unisex,275,13,2,Express,18.93,Supplier_6,Delhi,10,51.57,0,2,2,1,2023,32,5,0,0,1,Winter Sale,2.1309
2023-02-02,cosmetics,SKU001,36.24,85,635,23012.4,Male,635,16,2,Economy,23.63,Supplier_4,Chennai,15,20.81,0,3,2,1,2023,33,5,0,0,1,Winter Sale,2.3789
2023-02-03,cosmetics,SKU001,21.96,92,531,11660.76,Unisex,531,14,5,Standard,14.72,Supplier_6,Bangalore,14,11.1,0,4,2,1,2023,34,5,0,0,1,Winter Sale,2.3893
2023-02-04,cosmetics,SKU001,19.79,93,273,5402.67,Male,273,6,6,Premium,18.46,Supplier_3,Mumbai,7,10.86,1,5,2,1,2023,35,5,0,0,1,Winter Sale,2.835
2023-02-05,cosmetics,SKU001,77.45,92,283,21918.35,Unisex,283,6,7,Standard,12.9,Supplier_3,Mumbai,8,39.62,1,6,2,1,2023,36,5,0,0,1,Winter Sale,2.6264
2023-02-06,cosmetics,SKU001,61.17,100,364,22265.88,Male,364,20,1,Economy,26.27,Supplier_1,Chennai,6,22.42,0,0,2,1,2023,37,6,0,0,0,None,2.1957
2023-02-07,cosmetics,SKU001,77.7,85,578,44910.6,Unisex,578,9,5,Express,20.44,Supplier_5,Pune,6,39.81,0,1,2,1,2023,38,6,0,0,1,Valentine's Day,1.9818
2023-02-08,cosmetics,SKU001,76.87,85,430,33054.1,Male,430,6,8,Express,18.71,Supplier_3,Mumbai,20,31.87,0,2,2,1,2023,39,6,0,0,1,Valentine's Day,1.9868
2023-02-09,cosmetics,SKU001,102.62,100,276,28323.12,Unisex,276,25,8,Express,18.9,Supplier_3,Mumbai,19,63.71,0,3,2,1,2023,40,6,0,0,1,Valentine's Day,2.2122
2023-02-10,cosmetics,SKU001,86.37,93,322,27811.14,Female,322,23,8,Economy,23.39,Supplier_6,Kolkata,8,32.19,0,4,2,1,2023,41,6,0,0,1,Valentine's Day,2.1053
2023-02-11,cosmetics,SKU001,81.86,95,605,49525.3,Male,605,12,5,Economy,8.24,Supplier_6,Mumbai,16,44.97,1,5,2,1,2023,42,6,0,0,1,Valentine's Day,2.7408
2023-02-12,cosmetics,SKU001,74.75,86,629,47017.75,Unisex,629,16,5,Economy,15.93,Supplier_4,Bangalore,10,34.04,1,6,2,1,2023,43,6,0,0,1,Valentine's Day,2.5327
2023-02-13,cosmetics,SKU001,19.91,86,578,11507.98,Unisex,578,22,5,Economy,26.08,Supplier_4,Mumbai,16,12.55,0,0,2,1,2023,44,7,0,0,1,Valentine's Day,2.1121
2023-02-14,cosmetics,SKU001,67.96,91,442,30038.32,Unisex,442,7,4,Premium,29.23,Supplier_4,Delhi,6,37.37,0,1,2,1,2023,45,7,0,0,1,Valentine's Day,1.9016
2023-02-15,cosmetics,SKU001,47.5,88,547,25982.5,Unisex,547,9,1,Economy,12.92,Supplier_2,Delhi,13,19.01,0,2,2,1,2023,46,7,0,0,1,Valentine's Day,1.9017
2023-02-16,cosmetics,SKU001,73.17,100,644,47121.48,Female,644,5,6,Express,26.75,Supplier_2,Pune,12,26.61,0,3,2,1,2023,47,7,0,0,1,Valentine's Day,2.2236
2023-02-17,cosmetics,SKU001,93.78,100,542,50828.76,Unisex,542,10,8,Economy,15.68,Supplier_2,Pune,20,50.81,0,4,2,1,2023,48,7,0,0,1,Valentine's Day,2.2223
2023-02-18,cosmetics,SKU001,54.17,91,483,26164.11,Male,483,10,1,Premium,23.04,Supplier_5,Mumbai,8,34.17,1,5,2,1,2023,49,7,0,0,1,Valentine's Day,2.8863
2023-02-19,cosmetics,SKU001,103.25,89,556,57407.0,Male,556,21,2,Premium,18.44,Supplier_4,Delhi,19,62.42,1,6,2,1,2023,50,7,0,0,1,Valentine's Day,2.6611
2023-02-20,cosmetics,SKU001,30.61,93,275,8417.75,Unisex,275,15,2,Standard,14.7,Supplier_4,Mumbai,9,14.78,0,0,2,1,2023,51,8,0,0,1,Valentine's Day,2.2142
2023-02-21,cosmetics,SKU001,53.89,91,334,17999.26,Unisex,334,14,2,Express,17.16,Supplier_6,Delhi,18,27.95,0,1,2,1,2023,52,8,0,0,1,Valentine's Day,1.9892
2023-02-22,cosmetics,SKU001,111.37,96,579,64483.23,Male,579,4,4,Economy,22.2,Supplier_3,Kolkata,16,65.65,0,2,2,1,2023,53,8,0,0,0,None,1.985
2023-02-23,cosmetics,SKU001,67.92,95,527,35793.84,Unisex,527,22,5,Express,9.39,Supplier_5,Bangalore,18,35.55,0,3,2,1,2023,54,8,0,0,0,None,2.2003
2023-02-24,cosmetics,SKU001,48.63,87,673,32727.99,Male,673,22,3,Economy,18.79,Supplier_2,Pune,18,31.14,0,4,2,1,2023,55,8,0,0,0,None,2.1944
2023-02-25,cosmetics,SKU001,113.91,86,557,63447.87,Male,557,9,3,Premium,20.69,Supplier_5,Mumbai,11,71.8,1,5,2,1,2023,56,8,0,0,0,None,2.8445
2023-02-26,cosmetics,SKU001,58.31,86,537,31312.47,Unisex,537,20,1,Express,15.76,Supplier_4,Pune,9,33.09,1,6,2,1,2023,57,8,0,0,0,None,2.6173
2023-02-27,cosmetics,SKU001,60.73,92,609,36984.57,Unisex,609,21,8,Express,10.85,Supplier_7,Mumbai,9,37.91,0,0,2,1,2023,58,9,0,0,0,None,2.1736
2023-02-28,cosmetics,SKU001,99.83,88,292,29150.36,Female,292,20,2,Premium,16.32,Supplier_3,Chennai,15,50.31,0,1,2,1,2023,59,9,1,0,0,None,2.2415
2023-03-01,cosmetics,SKU001,50.68,99,332,16825.76,Female,332,3,7,Economy,18.16,Supplier_7,Chennai,8,18.3,0,2,3,1,2023,60,9,0,0,1,Holi,1.4238
2023-03-02,cosmetics,SKU001,81.98,89,470,38530.6,Male,470,12,7,Premium,14.65,Supplier_5,Bangalore,18,49.85,0,3,3,1,2023,61,9,0,0,1,Holi,1.5755
2023-03-03,cosmetics,SKU001,45.94,92,354,16262.76,Male,354,21,5,Economy,10.44,Supplier_3,Delhi,18,17.16,0,4,3,1,2023,62,9,0,0,1,Holi,1.5687
2023-03-04,cosmetics,SKU001,88.31,93,430,37973.3,Female,430,15,4,Premium,11.99,Supplier_2,Chennai,11,52.88,1,5,3,1,2023,63,9,0,0,1,Holi,1.8455
2023-03-05,cosmetics,SKU001,38.11,98,456,17378.16,Female,456,10,7,Standard,26.64,Supplier_4,Mumbai,14,18.51,1,6,3,1,2023,64,9,0,0,1,Holi,1.6955
2023-03-06,cosmetics,SKU001,39.04,99,447,17450.88,Female,447,9,6,Premium,23.16,Supplier_1,Bangalore,9,20.16,0,0,3,1,2023,65,10,0,0,1,Holi,1.406
2023-03-07,cosmetics,SKU001,69.87,88,509,35563.83,Male,509,22,3,Standard,9.35,Supplier_7,Delhi,7,34.58,0,1,3,1,2023,66,10,0,0,1,Holi,1.259
2023-03-08,cosmetics,SKU001,91.65,85,474,43442.1,Unisex,474,4,4,Standard,11.0,Supplier_3,Kolkata,10,52.09,0,2,3,1,2023,67,10,0,0,1,Holi,1.2524
2023-03-09,cosmetics,SKU001,50.61,95,591,29910.51,Female,591,10,7,Standard,25.21,Supplier_2,Chennai,17,29.11,0,3,3,1,2023,68,10,0,0,1,Holi,1.384
2023-03-10,cosmetics,SKU001,107.52,87,581,62469.12,Unisex,581,12,4,Express,23.77,Supplier_1,Kolkata,5,51.76,0,4,3,1,2023,69,10,0,0,1,Holi,1.3075
2023-03-11,cosmetics,SKU001,98.56,95,586,57756.16,Unisex,586,8,1,Economy,24.2,Supplier_6,Bangalore,10,47.65,1,5,3,1,2023,70,10,0,0,1,Holi,1.6902
2023-03-12,cosmetics,SKU001,101.42,92,403,40872.26,Male,403,7,2,Economy,15.78,Supplier_2,Bangalore,7,45.6,1,6,3,1,2023,71,10,0,0,1,Holi,1.5511
2023-03-13,cosmetics,SKU001,52.02,96,325,16906.5,Male,325,10,6,Express,16.59,Supplier_6,Kolkata,19,31.47,0,0,3,1,2023,72,11,0,0,1,Holi,1.285
2023-03-14,cosmetics,SKU001,92.69,97,557,51628.33,Female,557,4,7,Standard,10.72,Supplier_5,Mumbai,19,48.23,0,1,3,1,2023,73,11,0,0,1,Holi,1.1495
2023-03-15,cosmetics,SKU001,33.94,96,622,21110.68,Female,622,22,3,Express,21.5,Supplier_5,Delhi,17,19.4,0,2,3,1,2023,74,11,0,0,1,Holi,1.1426
2023-03-16,cosmetics,SKU001,15.42,99,265,4086.3,Male,265,20,7,Express,10.75,Supplier_5,Kolkata,6,9.3,0,3,3,1,2023,75,11,0,0,1,Holi,1.3281
2023-03-17,cosmetics,SKU001,114.47,90,296,33883.12,Unisex,296,12,5,Standard,15.54,Supplier_3,Bangalore,7,66.8,0,4,3,1,2023,76,11,0,0,1,Holi,1.3198
2023-03-18,cosmetics,SKU001,15.68,92,354,5550.72,Male,354,24,5,Economy,14.96,Supplier_3,Chennai,10,6.58,1,5,3,1,2023,77,11,0,0,1,Holi,1.705
2023-03-19,cosmetics,SKU001,114.97,90,646,74270.62,Male,646,9,6,Express,14.04,Supplier_7,Bangalore,9,57.71,1,6,3,1,2023,78,11,0,0,1,Holi,1.5639
2023-03-20,cosmetics,SKU001,18.52,92,410,7593.2,Female,410,13,1,Economy,25.94,Supplier_4,Delhi,18,11.01,0,0,3,1,2023,79,12,0,0,1,Holi,1.295
2023-03-21,cosmetics,SKU001,95.08,88,614,58379.12,Female,614,10,8,Premium,26.44,Supplier_2,Pune,18,42.45,0,1,3,1,2023,80,12,0,0,1,Holi,1.1581
2023-03-22,cosmetics,SKU001,49.3,90,509,25093.7,Unisex,509,8,4,Economy,19.31,Supplier_6,Mumbai,9,31.98,0,2,3,1,2023,81,12,0,0,1,Holi,1.1507
2023-03-23,cosmetics,SKU001,54.51,85,555,30253.05,Male,555,10,5,Premium,20.18,Supplier_6,Pune,16,25.12,0,3,3,1,2023,82,12,0,0,1,Holi,1.2705
2023-03-24,cosmetics,SKU001,67.56,100,568,38374.08,Unisex,568,10,6,Express,25.1,Supplier_3,Delhi,10,28.22,0,4,3,1,2023,83,12,0,0,1,Holi,1.2624
2023-03-25,cosmetics,SKU001,93.93,85,635,59645.55,Unisex,635,17,3,Premium,29.61,Supplier_3,Bangalore,17,50.75,1,5,3,1,2023,84,12,0,0,1,Holi,1.6308
2023-03-26,cosmetics,SKU001,97.09,87,575,55826.75,Female,575,21,7,Express,14.23,Supplier_2,Pune,15,56.83,1,6,3,1,2023,85,12,0,0,1,Holi,1.4959
2023-03-27,cosmetics,SKU001,74.61,87,288,21487.68,Unisex,288,12,4,Economy,26.25,Supplier_2,Bangalore,17,41.47,0,0,3,1,2023,86,13,0,0,1,Holi,1.2388
2023-03-28,cosmetics,SKU001,89.88,86,399,35862.12,Unisex,399,21,3,Economy,21.55,Supplier_3,Chennai,10,32.44,0,1,3,1,2023,87,13,1,1,1,Holi,1.2743
2023-03-29,cosmetics,SKU001,36.45,89,416,15163.2,Unisex,416,14,3,Express,12.87,Supplier_6,Delhi,8,20.07,0,2,3,1,2023,88,13,1,1,1,Holi,1.2665
2023-03-30,cosmetics,SKU001,38.58,100,271,10455.18,Female,271,17,4,Premium,22.1,Supplier_7,Chennai,19,22.37,0,3,3,1,2023,89,13,1,1,1,Holi,1.3988
2023-03-31,cosmetics,SKU001,116.74,92,508,59303.92,Male,508,12,8,Standard,23.81,Supplier_5,Bangalore,16,72.65,0,4,3,1,2023,90,13,1,1,1,Holi,1.3906
2023-04-01,cosmetics,SKU001,29.98,98,336,10073.28,Male,336,9,1,Premium,25.14,Supplier_6,Bangalore,20,12.44,1,5,4,2,2023,91,13,0,0,1,Eid,2.0629
2023-04-02,cosmetics,SKU001,96.05,85,579,55612.95,Unisex,579,9,8,Premium,23.43,Supplier_5,Pune,7,53.92,1,6,4,2,2023,92,13,0,0,1,Eid,1.8934
2023-04-03,cosmetics,SKU001,61.3,98,588,36044.4,Male,588,3,3,Economy,10.68,Supplier_6,Mumbai,8,27.01,0,0,4,2,2023,93,14,0,0,1,Eid,1.569
2023-04-04,cosmetics,SKU001,71.08,88,310,22034.8,Female,310,20,6,Premium,29.01,Supplier_5,Kolkata,14,34.98,0,1,4,2,2023,94,14,0,0,1,Eid,1.2767
2023-04-05,cosmetics,SKU001,84.71,99,442,37441.82,Unisex,442,18,1,Premium,22.29,Supplier_5,Chennai,11,44.01,0,2,4,2,2023,95,14,0,0,1,Eid,1.27
2023-04-06,cosmetics,SKU001,102.82,99,414,42567.48,Male,414,9,2,Standard,22.33,Supplier_3,Bangalore,5,49.26,0,3,4,2,2023,96,14,0,0,1,Eid,1.4038
2023-04-07,cosmetics,SKU001,109.0,93,371,40439.0,Female,371,22,4,Standard,26.1,Supplier_3,Chennai,15,60.51,0,4,4,2,2023,97,14,0,0,1,Eid,1.3967
2023-04-08,cosmetics,SKU001,106.84,99,292,31197.28,Unisex,292,8,2,Premium,19.92,Supplier_1,Delhi,7,57.67,1,5,4,2,2023,98,14,0,0,1,Eid,1.807
2023-04-09,cosmetics,SKU001,98.25,100,379,37236.75,Unisex,379,10,2,Express,28.11,Supplier_2,Bangalore,10,58.25,1,6,4,2,2023,99,14,0,0,1,Eid,1.6601
2023-04-10,cosmetics,SKU001,79.99,100,335,26796.65,Female,335,18,8,Premium,25.95,Supplier_1,Mumbai,5,35.08,0,0,4,2,2023,100,15,0,0,1,Eid,1.3083
2023-04-11,cosmetics,SKU001,30.86,96,638,19688.68,Unisex,638,10,2,Premium,18.53,Supplier_7,Mumbai,5,17.99,0,1,4,2,2023,101,15,0,0,1,Eid,1.1724
2023-04-12,cosmetics,SKU001,102.16,99,412,42089.92,Unisex,412,4,7,Economy,11.19,Supplier_7,Delhi,20,42.29,0,2,4,2,2023,102,15,0,0,1,Eid,1.1675
2023-04-13,cosmetics,SKU001,109.49,93,418,45766.82,Female,418,15,7,Economy,9.21,Supplier_7,Chennai,5,46.14,0,3,4,2,2023,103,15,0,0,1,Eid,1.292
2023-04-14,cosmetics,SKU001,91.04,87,646,58811.84,Unisex,646,25,2,Economy,28.69,Supplier_1,Kolkata,14,47.75,0,4,4,2,2023,104,15,0,0,1,Eid,1.2871
2023-04-15,cosmetics,SKU001,76.51,86,579,44299.29,Unisex,579,22,4,Premium,15.2,Supplier_7,Bangalore,5,43.62,1,5,4,2,2023,105,15,0,0,1,Eid,1.6671
2023-04-16,cosmetics,SKU001,88.89,94,427,37956.03,Unisex,427,4,3,Premium,19.59,Supplier_3,Chennai,14,54.21,1,6,4,2,2023,106,15,0,0,1,Eid,1.6143
2023-04-17,cosmetics,SKU001,101.81,97,595,60576.95,Female,595,15,3,Premium,21.45,Supplier_2,Kolkata,5,58.03,0,0,4,2,2023,107,16,0,0,1,Eid,1.3409
2023-04-18,cosmetics,SKU001,45.45,93,616,27997.2,Female,616,7,2,Express,29.96,Supplier_1,Mumbai,12,20.0,0,1,4,2,2023,108,16,0,0,1,Eid,1.2031
2023-04-19,cosmetics,SKU001,109.46,89,369,40390.74,Female,369,24,4,Economy,14.22,Supplier_7,Kolkata,8,46.46,0,2,4,2,2023,109,16,0,0,1,Eid,1.1996
2023-04-20,cosmetics,SKU001,103.69,96,299,31003.31,Female,299,4,5,Economy,24.7,Supplier_3,Mumbai,10,55.49,0,3,4,2,2023,110,16,0,0,1,Eid,1.3293
2023-04-21,cosmetics,SKU001,64.57,98,583,37644.31,Female,583,15,1,Express,19.18,Supplier_2,Bangalore,5,25.22,0,4,4,2,2023,111,16,0,0,1,Eid,1.3259
2023-04-22,cosmetics,SKU001,50.69,87,371,18805.99,Female,371,17,2,Standard,24.29,Supplier_1,Bangalore,14,22.78,1,5,4,2,2023,112,16,0,0,1,Eid,1.7197
2023-04-23,cosmetics,SKU001,80.98,92,526,42595.48,Unisex,526,19,8,Express,22.46,Supplier_4,Pune,7,42.08,1,6,4,2,2023,113,16,0,0,1,Eid,1.5839
2023-04-24,cosmetics,SKU001,56.35,94,573,32288.55,Male,573,4,2,Express,13.75,Supplier_2,Kolkata,10,28.98,0,0,4,2,2023,114,17,0,0,1,Eid,1.3173
2023-04-25,cosmetics,SKU001,79.21,94,275,21782.75,Female,275,20,5,Economy,20.87,Supplier_5,Pune,10,43.19,0,1,4,2,2023,115,17,0,0,1,Eid,1.1834
2023-04-26,cosmetics,SKU001,51.38,100,313,16081.94,Male,313,14,4,Express,14.86,Supplier_5,Mumbai,13,18.07,0,2,4,2,2023,116,17,0,0,1,Eid,1.1815
2023-04-27,cosmetics,SKU001,100.97,100,517,52201.49,Unisex,517,6,3,Economy,28.5,Supplier_2,Kolkata,13,44.16,0,3,4,2,2023,117,17,0,0,1,Eid,1.3107
2023-04-28,cosmetics,SKU001,25.71,90,577,14834.67,Unisex,577,23,6,Economy,13.53,Supplier_4,Bangalore,13,15.11,0,4,4,2,2023,118,17,1,0,1,Eid,1.5053
2023-04-29,cosmetics,SKU001,94.39,98,581,54840.59,Female,581,7,3,Economy,16.56,Supplier_2,Mumbai,14,44.06,1,5,4,2,2023,119,17,1,0,1,Eid,1.9545
2023-04-30,cosmetics,SKU001,16.43,95,539,8855.77,Unisex,539,10,8,Standard,28.8,Supplier_7,Mumbai,20,8.92,1,6,4,2,2023,120,17,1,0,1,Eid,1.8022
2023-05-01,cosmetics,SKU001,82.01,97,368,30179.68,Female,368,6,5,Express,25.68,Supplier_6,Chennai,10,43.25,0,0,5,2,2023,121,18,0,0,0,None,1.4352
2023-05-02,cosmetics,SKU001,59.77,90,383,22891.91,Male,383,17,4,Economy,22.74,Supplier_4,Bangalore,19,32.81,0,1,5,2,2023,122,18,0,0,0,None,1.2906
2023-05-03,cosmetics,SKU001,60.5,97,528,31944.0,Unisex,528,22,8,Express,17.8,Supplier_3,Kolkata,15,30.97,0,2,5,2,2023,123,18,0,0,0,None,1.2897
2023-05-04,cosmetics,SKU001,52.46,88,538,28223.48,Female,538,8,6,Standard,15.13,Supplier_3,Mumbai,12,25.47,0,3,5,2,2023,124,18,0,0,0,None,1.302
2023-05-05,cosmetics,SKU001,91.38,97,230,21017.4,Unisex,230,23,7,Premium,27.58,Supplier_2,Bangalore,5,50.04,0,4,5,2,2023,125,18,0,0,0,None,1.3013
2023-05-06,cosmetics,SKU001,55.31,85,418,23119.58,Female,418,16,4,Standard,28.06,Supplier_3,Bangalore,11,28.69,1,5,5,2,2023,126,18,0,0,0,None,1.691
2023-05-07,cosmetics,SKU001,94.82,93,413,39160.66,Unisex,413,8,4,Premium,15.15,Supplier_6,Mumbai,14,39.36,1,6,5,2,2023,127,18,0,0,0,None,1.5604
2023-05-08,cosmetics,SKU001,94.11,86,268,25221.48,Unisex,268,10,1,Standard,15.0,Supplier_4,Chennai,16,46.53,0,0,5,2,2023,128,19,0,0,0,None,1.3
2023-05-09,cosmetics,SKU001,106.94,94,466,49834.04,Unisex,466,24,7,Premium,9.09,Supplier_3,Delhi,14,60.33,0,1,5,2,2023,129,19,0,0,1,Mother's Day,1.1698
2023-05-10,cosmetics,SKU001,36.28,100,449,16289.72,Unisex,449,23,3,Express,24.38,Supplier_4,Kolkata,11,20.71,0,2,5,2,2023,130,19,0,0,1,Mother's Day,1.1112
2023-05-11,cosmetics,SKU001,68.8,89,267,18369.6,Unisex,267,22,2,Premium,20.14,Supplier_5,Kolkata,10,30.76,0,3,5,2,2023,131,19,0,0,1,Mother's Day,1.2345
2023-05-12,cosmetics,SKU001,24.47,92,548,13409.56,Male,548,13,1,Standard,21.24,Supplier_2,Pune,14,10.27,0,4,5,2,2023,132,19,0,0,1,Mother's Day,1.2344
2023-05-13,cosmetics,SKU001,24.82,98,547,13576.54,Unisex,547,15,4,Economy,15.27,Supplier_5,Pune,7,12.57,1,5,5,2,2023,133,19,0,0,1,Mother's Day,1.6047
2023-05-14,cosmetics,SKU001,94.49,94,288,27213.12,Unisex,288,17,2,Express,8.3,Supplier_4,Chennai,15,53.72,1,6,5,2,2023,134,19,0,0,1,Mother's Day,1.4813
2023-05-15,cosmetics,SKU001,104.48,94,412,43045.76,Unisex,412,16,7,Economy,27.73,Supplier_4,Bangalore,20,44.98,0,0,5,2,2023,135,20,0,0,1,Mother's Day,1.2344
2023-05-16,cosmetics,SKU001,24.15,99,298,7196.7,Female,298,21,1,Standard,23.28,Supplier_5,Mumbai,10,12.06,0,1,5,2,2023,136,20,0,0,0,None,1.1695
2023-05-17,cosmetics,SKU001,79.47,97,293,23284.71,Female,293,15,2,Standard,27.29,Supplier_1,Chennai,16,46.1,0,2,5,2,2023,137,20,0,0,0,None,1.1695
2023-05-18,cosmetics,SKU001,52.25,89,419,21892.75,Unisex,419,17,2,Standard,28.38,Supplier_3,Kolkata,5,20.67,0,3,5,2,2023,138,20,0,0,0,None,1.2994
2023-05-19,cosmetics,SKU001,20.18,93,278,5610.04,Male,278,22,7,Premium,21.77,Supplier_3,Bangalore,8,11.57,0,4,5,2,2023,139,20,0,0,0,None,1.2994
2023-05-20,cosmetics,SKU001,106.85,99,277,29597.45,Male,277,23,7,Premium,25.54,Supplier_1,Chennai,15,44.18,1,5,5,2,2023,140,20,0,0,0,None,1.6891
